   ------------------------------------------------------------------
  | Welcome to ROOT 6.22/08                        https://root.cern |
  | (c) 1995-2020, The ROOT Team; conception: R. Brun, F. Rademakers |
  | Built for linuxx8664gcc on Mar 10 2021, 14:20:04                 |
  | From tags/v6-22-08@v6-22-08                                      |
totedep 4.96449 nhit= 31
# of display =473
# of event =13937
totedep 7.6385 nhit= 33
# of display =474
# of event =14013
totedep 2.81374 nhit= 14
# of display =475
# of event =14018
totedep 5.26274 nhit= 18
# of display =476
# of event =14034
totedep 4.19841 nhit= 15
# of display =477
# of event =14046
totedep 2.87513 nhit= 16
# of display =478
# of event =14053
totedep 5.49595 nhit= 28
# of display =479
# of event =14090
totedep 2.39372 nhit= 12
# of display =480
# of event =14137
totedep 2.28054 nhit= 12
# of display =481
# of event =14218
totedep 6.85113 nhit= 31
# of display =482
# of event =14249
totedep 3.17059 nhit= 13
# of display =483
# of event =14251
totedep 3.52158 nhit= 18
# of display =484
# of event =14286
totedep 4.8992 nhit= 34
# of display =485
# of event =14314
totedep 7.30365 nhit= 41
# of display =486
# of event =14316
totedep 9.91479 nhit= 48
# of display =487
# of event =14397
totedep 5.7455 nhit= 20
# of display =488
# of event =14439
totedep 3.17665 nhit= 19
# of display =489
# of event =14456
totedep 5.83426 nhit= 20
# of display =490
# of event =14473
totedep 9.56464 nhit= 29
# of display =491
# of event =14522
totedep 2.14915 nhit= 11
# of display =492
# of event =14526
totedep 3.80074 nhit= 15
# of display =493
# of event =14559
totedep 5.1253 nhit= 32
# of display =494
# of event =14611
totedep 4.46319 nhit= 21
# of display =495
# of event =14657
totedep 4.86929 nhit= 28
# of display =496
# of event =14705
totedep 4.55353 nhit= 16
# of display =497
# of event =14710
totedep 5.95165 nhit= 39
# of display =498
# of event =14723
totedep 3.56672 nhit= 12
# of display =499
# of event =14800
totedep 3.87635 nhit= 15
# of display =500
# of event =14821
totedep 5.78104 nhit= 29
# of display =501
# of event =14835
totedep 12.6924 nhit= 44
# of display =502
# of event =14856
totedep 3.4926 nhit= 19
# of display =503
# of event =14875
totedep 1.67265 nhit= 12
# of display =504
# of event =14932
totedep 1.53688 nhit= 10
# of display =505
# of event =14957
totedep 5.87721 nhit= 37
# of display =506
# of event =14959
totedep 3.07069 nhit= 14
# of display =507
# of event =15011
totedep 5.73022 nhit= 33
# of display =508
# of event =15015
totedep 5.40613 nhit= 17
# of display =509
# of event =15042
totedep 3.81128 nhit= 16
# of display =510
# of event =15066
totedep 5.01373 nhit= 29
# of display =511
# of event =15072
totedep 4.34294 nhit= 23
# of display =512
# of event =15107
totedep 2.20911 nhit= 12
# of display =513
# of event =15128
totedep 4.33812 nhit= 19
# of display =514
# of event =15149
totedep 1.72502 nhit= 13
# of display =515
# of event =15230
totedep 7.09114 nhit= 41
# of display =516
# of event =15260
totedep 2.81774 nhit= 14
# of display =517
# of event =15287
totedep 1.75841 nhit= 11
# of display =518
# of event =15334
totedep 10.4687 nhit= 34
# of display =519
# of event =15346
totedep 1.93521 nhit= 11
# of display =520
# of event =15360
totedep 5.21459 nhit= 25
# of display =521
# of event =15389
totedep 2.08629 nhit= 12
# of display =522
# of event =15394
totedep 2.20663 nhit= 10
# of display =523
# of event =15409
totedep 3.27283 nhit= 12
# of display =524
# of event =15412
totedep 3.01128 nhit= 15
# of display =525
# of event =15453
totedep 6.3951 nhit= 22
# of display =526
# of event =15468
totedep 4.97215 nhit= 29
# of display =527
# of event =15474
totedep 10.5399 nhit= 38
# of display =528
# of event =15593
totedep 8.98912 nhit= 39
# of display =529
# of event =15647
totedep 10.0559 nhit= 44
# of display =530
# of event =15654
totedep 4.07276 nhit= 18
# of display =531
# of event =15658
totedep 4.60957 nhit= 16
# of display =532
# of event =15678
totedep 1.84336 nhit= 12
# of display =533
# of event =15738
totedep 3.6951 nhit= 13
# of display =534
# of event =15753
totedep 2.22593 nhit= 13
# of display =535
# of event =15755
totedep 6.26497 nhit= 17
# of display =536
# of event =15792
totedep 4.2803 nhit= 13
# of display =537
# of event =15829
totedep 4.40327 nhit= 16
# of display =538
# of event =15869
totedep 7.10508 nhit= 21
# of display =539
# of event =15891
totedep 3.31161 nhit= 14
# of display =540
# of event =15934
totedep 1.59861 nhit= 10
# of display =541
# of event =15952
totedep 4.63459 nhit= 21
# of display =542
# of event =16012
totedep 3.30302 nhit= 17
# of display =543
# of event =16073
totedep 1.65128 nhit= 10
# of display =544
# of event =16086
totedep 7.17117 nhit= 36
# of display =545
# of event =16087
totedep 4.72124 nhit= 26
# of display =546
# of event =16093
totedep 4.31944 nhit= 16
# of display =547
# of event =16118
totedep 2.43215 nhit= 12
# of display =548
# of event =16181
totedep 3.94438 nhit= 15
# of display =549
# of event =16266
totedep 2.36305 nhit= 11
# of display =550
# of event =16293
totedep 5.96017 nhit= 17
# of display =551
# of event =16297
totedep 2.25037 nhit= 13
# of display =552
# of event =16334
totedep 5.22391 nhit= 20
# of display =553
# of event =16366
totedep 5.96025 nhit= 26
# of display =554
# of event =16370
totedep 2.91441 nhit= 15
# of display =555
# of event =16396
totedep 9.77088 nhit= 25
# of display =556
# of event =16429
totedep 1.76283 nhit= 10
# of display =557
# of event =16433
totedep 1.99439 nhit= 13
# of display =558
# of event =16498
totedep 2.8809 nhit= 18
# of display =559
# of event =16551
totedep 10.3069 nhit= 56
# of display =560
# of event =16593
totedep 10.405 nhit= 31
# of display =561
# of event =16614
totedep 6.77238 nhit= 21
# of display =562
# of event =16620
totedep 12.0704 nhit= 42
# of display =563
# of event =16624
totedep 2.08018 nhit= 10
# of display =564
# of event =16631
totedep 2.17948 nhit= 11
# of display =565
# of event =16665
totedep 3.5714 nhit= 13
# of display =566
# of event =16689
totedep 9.16742 nhit= 32
# of display =567
# of event =16717
totedep 4.80466 nhit= 31
# of display =568
# of event =16723
totedep 2.30267 nhit= 14
# of display =569
# of event =16725
totedep 2.6747 nhit= 12
# of display =570
# of event =16774
totedep 3.83394 nhit= 13
# of display =571
# of event =16842
totedep 3.26824 nhit= 17
# of display =572
# of event =16847
totedep 6.63593 nhit= 33
# of display =573
# of event =16848
totedep 7.14778 nhit= 35
# of display =574
# of event =16909
totedep 4.70168 nhit= 18
# of display =575
# of event =16926
totedep 1.76047 nhit= 11
# of display =576
# of event =17024
totedep 2.3962 nhit= 14
# of display =577
# of event =17074
totedep 5.0168 nhit= 19
# of display =578
# of event =17101
totedep 12.8575 nhit= 52
# of display =579
# of event =17169
totedep 2.86701 nhit= 10
# of display =580
# of event =17214
totedep 6.41392 nhit= 28
# of display =581
# of event =17256
totedep 1.77648 nhit= 11
# of display =582
# of event =17367
totedep 3.85933 nhit= 12
# of display =583
# of event =17484
totedep 2.15771 nhit= 13
# of display =584
# of event =17502
totedep 4.56491 nhit= 21
# of display =585
# of event =17516
totedep 16.1643 nhit= 50
# of display =586
# of event =17569
totedep 6.33185 nhit= 35
# of display =587
# of event =17577
totedep 3.47777 nhit= 14
# of display =588
# of event =17578
totedep 5.77916 nhit= 18
# of display =589
# of event =17638
totedep 4.76286 nhit= 16
# of display =590
# of event =17675
totedep 3.85813 nhit= 16
# of display =591
# of event =17687
totedep 4.27879 nhit= 14
# of display =592
# of event =17752
totedep 3.23387 nhit= 16
# of display =593
# of event =17767
totedep 2.38481 nhit= 11
# of display =594
# of event =17769
totedep 6.40935 nhit= 25
# of display =595
# of event =17792
totedep 5.56955 nhit= 22
# of display =596
# of event =17798
totedep 1.94865 nhit= 12
# of display =597
# of event =17809
totedep 2.16674 nhit= 11
# of display =598
# of event =17850
totedep 8.06826 nhit= 47
# of display =599
# of event =17889
totedep 7.77734 nhit= 26
# of display =600
# of event =17890
totedep 3.99285 nhit= 14
# of display =601
# of event =17902
totedep 2.58197 nhit= 18
# of display =602
# of event =17936
totedep 3.14294 nhit= 21
# of display =603
# of event =18001
totedep 7.70494 nhit= 31
# of display =604
# of event =18012
totedep 19.7114 nhit= 59
# of display =605
# of event =18016
totedep 6.69979 nhit= 12
# of display =606
# of event =18021
totedep 5.95929 nhit= 19
# of display =607
# of event =18056
totedep 4.76009 nhit= 17
# of display =608
# of event =18086
totedep 3.62899 nhit= 21
# of display =609
# of event =18131
totedep 3.95265 nhit= 18
# of display =610
# of event =18190
totedep 3.56057 nhit= 12
# of display =611
# of event =18192
totedep 26.8714 nhit= 25
# of display =612
# of event =18246
totedep 3.38267 nhit= 11
# of display =613
# of event =18247
totedep 7.38435 nhit= 30
# of display =614
# of event =18252
totedep 2.29516 nhit= 14
# of display =615
# of event =18277
totedep 2.25762 nhit= 12
# of display =616
# of event =18279
totedep 6.92296 nhit= 25
# of display =617
# of event =18373
totedep 3.808 nhit= 18
# of display =618
# of event =18379
totedep 12.4851 nhit= 35
# of display =619
# of event =18416
totedep 5.22642 nhit= 23
# of display =620
# of event =18420
totedep 5.38731 nhit= 21
# of display =621
# of event =18428
totedep 1.60554 nhit= 11
# of display =622
# of event =18508
totedep 6.8783 nhit= 21
# of display =623
# of event =18524
totedep 2.9104 nhit= 14
# of display =624
# of event =18543
totedep 5.59808 nhit= 32
# of display =625
# of event =18618
totedep 2.49022 nhit= 17
# of display =626
# of event =18645
totedep 5.5087 nhit= 17
# of display =627
# of event =18649
totedep 1.31434 nhit= 10
# of display =628
# of event =18661
totedep 5.59047 nhit= 17
# of display =629
# of event =18711
totedep 7.2187 nhit= 26
# of display =630
# of event =18717
totedep 10.0745 nhit= 60
# of display =631
# of event =18779
totedep 4.53122 nhit= 11
# of display =632
# of event =18800
totedep 7.4849 nhit= 27
# of display =633
# of event =18849
totedep 2.36614 nhit= 14
# of display =634
# of event =18889
totedep 7.74369 nhit= 39
# of display =635
# of event =18901
totedep 1.97075 nhit= 10
# of display =636
# of event =18933
totedep 11.3027 nhit= 37
# of display =637
# of event =18958
totedep 3.45988 nhit= 11
# of display =638
# of event =18972
totedep 5.37943 nhit= 18
# of display =639
# of event =18983
totedep 1.95972 nhit= 10
# of display =640
# of event =19018
totedep 3.53472 nhit= 16
# of display =641
# of event =19026
totedep 2.28048 nhit= 10
# of display =642
# of event =19035
totedep 2.68537 nhit= 17
# of display =643
# of event =19080
totedep 1.60969 nhit= 12
# of display =644
# of event =19122
totedep 3.08451 nhit= 20
# of display =645
# of event =19130
totedep 10.1714 nhit= 37
# of display =646
# of event =19147
totedep 13.6445 nhit= 41
# of display =647
# of event =19148
totedep 5.39815 nhit= 36
# of display =648
# of event =19167
totedep 3.61774 nhit= 23
# of display =649
# of event =19181
totedep 3.95337 nhit= 18
# of display =650
# of event =19191
totedep 5.48969 nhit= 19
# of display =651
# of event =19246
totedep 19.8148 nhit= 21
# of display =652
# of event =19253
totedep 2.35432 nhit= 10
# of display =653
# of event =19269
totedep 2.83364 nhit= 10
# of display =654
# of event =19299
totedep 2.80379 nhit= 14
# of display =655
# of event =19309
totedep 19.2933 nhit= 58
# of display =656
# of event =19330
totedep 2.09454 nhit= 12
# of display =657
# of event =19385
totedep 15.9103 nhit= 24
# of display =658
# of event =19414
totedep 4.34016 nhit= 24
# of display =659
# of event =19432
totedep 2.24714 nhit= 13
# of display =660
# of event =19447
totedep 2.27477 nhit= 12
# of display =661
# of event =19474
totedep 12.6423 nhit= 35
# of display =662
# of event =19475
totedep 5.71588 nhit= 33
# of display =663
# of event =19489
totedep 5.60392 nhit= 34
# of display =664
# of event =19506
totedep 5.71074 nhit= 22
# of display =665
# of event =19512
totedep 2.28288 nhit= 16
# of display =666
# of event =19515
totedep 3.80323 nhit= 23
# of display =667
# of event =19528
totedep 11.1474 nhit= 60
# of display =668
# of event =19531
totedep 12.0536 nhit= 33
# of display =669
# of event =19554
totedep 4.14073 nhit= 13
# of display =670
# of event =19599
totedep 4.88421 nhit= 19
# of display =671
# of event =19701
totedep 6.96609 nhit= 22
# of display =672
# of event =19723
totedep 11.8108 nhit= 39
# of display =673
# of event =19773
totedep 7.50932 nhit= 34
# of display =674
# of event =19786
totedep 7.30401 nhit= 24
# of display =675
# of event =19800
totedep 2.91758 nhit= 10
# of display =676
# of event =19828
totedep 3.7723 nhit= 15
# of display =677
# of event =19842
totedep 18.0624 nhit= 63
# of display =678
# of event =19843
totedep 1.94976 nhit= 11
# of display =679
# of event =19844
totedep 4.65554 nhit= 16
# of display =680
# of event =19872
totedep 2.97039 nhit= 15
# of display =681
# of event =19897
totedep 5.213 nhit= 16
# of display =682
# of event =19949
totedep 7.70824 nhit= 42
# of display =683
# of event =19972
totedep 12.9001 nhit= 68
# of display =684
# of event =19980
totedep 3.12669 nhit= 16
# of display =685
# of event =19991
totedep 3.06165 nhit= 13
# of display =686
# of event =20017
totedep 4.13957 nhit= 23
# of display =687
# of event =20019
totedep 4.26402 nhit= 16
# of display =688
# of event =20043
totedep 3.37809 nhit= 19
# of display =689
# of event =20119
totedep 4.81778 nhit= 28
# of display =690
# of event =20127
totedep 4.409 nhit= 24
# of display =691
# of event =20143
totedep 2.54275 nhit= 13
# of display =692
# of event =20157
totedep 6.84557 nhit= 26
# of display =693
# of event =20260
totedep 4.41499 nhit= 12
# of display =694
# of event =20268
totedep 2.47078 nhit= 12
# of display =695
# of event =20314
totedep 2.50861 nhit= 11
# of display =696
# of event =20405
totedep 12.9137 nhit= 55
# of display =697
# of event =20419
totedep 4.56214 nhit= 18
# of display =698
# of event =20456
totedep 3.50401 nhit= 16
# of display =699
# of event =20481
totedep 1.95339 nhit= 10
# of display =700
# of event =20487
totedep 5.73095 nhit= 17
# of display =701
# of event =20505
totedep 2.79077 nhit= 10
# of display =702
# of event =20546
totedep 2.16475 nhit= 13
# of display =703
# of event =20560
totedep 1.0971 nhit= 10
# of display =704
# of event =20570
totedep 2.89984 nhit= 18
# of display =705
# of event =20648
totedep 7.9572 nhit= 33
# of display =706
# of event =20677
totedep 4.376 nhit= 23
# of display =707
# of event =20681
totedep 7.1687 nhit= 32
# of display =708
# of event =20686
totedep 2.45467 nhit= 12
# of display =709
# of event =20739
totedep 10.8205 nhit= 58
# of display =710
# of event =20756
totedep 1.83884 nhit= 11
# of display =711
# of event =20772
totedep 9.36862 nhit= 31
# of display =712
# of event =20821
totedep 15.8708 nhit= 57
# of display =713
# of event =20834
totedep 7.98044 nhit= 28
# of display =714
# of event =20858
totedep 1.32515 nhit= 10
# of display =715
# of event =20864
totedep 2.38038 nhit= 11
# of display =716
# of event =20882
totedep 9.55325 nhit= 36
# of display =717
# of event =20951
totedep 10.5456 nhit= 50
# of display =718
# of event =20966
totedep 6.51244 nhit= 31
# of display =719
# of event =20981
totedep 9.18167 nhit= 45
# of display =720
# of event =21067
totedep 3.96964 nhit= 19
# of display =721
# of event =21086
totedep 5.22791 nhit= 29
# of display =722
# of event =21206
totedep 5.6584 nhit= 28
# of display =723
# of event =21217
totedep 12.6668 nhit= 24
# of display =724
# of event =21221
totedep 5.38004 nhit= 19
# of display =725
# of event =21225
totedep 2.49354 nhit= 14
# of display =726
# of event =21229
totedep 2.57314 nhit= 16
# of display =727
# of event =21322
totedep 4.52315 nhit= 24
# of display =728
# of event =21339
totedep 10.0924 nhit= 32
# of display =729
# of event =21361
totedep 1.73605 nhit= 11
# of display =730
# of event =21380
totedep 2.22713 nhit= 10
# of display =731
# of event =21406
totedep 2.62328 nhit= 16
# of display =732
# of event =21413
totedep 9.23194 nhit= 35
# of display =733
# of event =21533
totedep 2.84977 nhit= 10
# of display =734
# of event =21535
totedep 2.64615 nhit= 10
# of display =735
# of event =21548
totedep 1.67421 nhit= 11
# of display =736
# of event =21567
totedep 3.11902 nhit= 13
# of display =737
# of event =21576
totedep 2.57749 nhit= 11
# of display =738
# of event =21598
totedep 4.43909 nhit= 26
# of display =739
# of event =21665
totedep 5.6646 nhit= 35
# of display =740
# of event =21676
totedep 11.9232 nhit= 39
# of display =741
# of event =21688
totedep 7.88309 nhit= 31
# of display =742
# of event =21691
totedep 2.11172 nhit= 13
# of display =743
# of event =21694
totedep 9.35706 nhit= 43
# of display =744
# of event =21697
totedep 7.82563 nhit= 30
# of display =745
# of event =21720
totedep 9.58907 nhit= 54
# of display =746
# of event =21761
totedep 4.14935 nhit= 24
# of display =747
# of event =21771
totedep 9.48048 nhit= 34
# of display =748
# of event =21940
totedep 4.22713 nhit= 21
# of display =749
# of event =21944
totedep 1.36035 nhit= 11
# of display =750
# of event =21985
totedep 2.52501 nhit= 13
# of display =751
# of event =21999
totedep 20.6346 nhit= 75
# of display =752
# of event =22018
totedep 7.91883 nhit= 39
# of display =753
# of event =22024
totedep 2.89124 nhit= 20
# of display =754
# of event =22028
totedep 2.99033 nhit= 13
# of display =755
# of event =22033
totedep 5.17496 nhit= 14
# of display =756
# of event =22038
totedep 9.34954 nhit= 45
# of display =757
# of event =22039
totedep 1.87948 nhit= 13
# of display =758
# of event =22087
totedep 2.7441 nhit= 16
# of display =759
# of event =22158
totedep 7.76467 nhit= 26
# of display =760
# of event =22165
totedep 3.23904 nhit= 11
# of display =761
# of event =22243
totedep 4.51849 nhit= 17
# of display =762
# of event =22284
totedep 0.985893 nhit= 10
# of display =763
# of event =22314
totedep 2.06382 nhit= 10
# of display =764
# of event =22371
totedep 3.72211 nhit= 16
# of display =765
# of event =22439
totedep 6.78732 nhit= 31
# of display =766
# of event =22442
totedep 12.1243 nhit= 41
# of display =767
# of event =22471
totedep 3.72357 nhit= 19
# of display =768
# of event =22476
totedep 14.4997 nhit= 48
# of display =769
# of event =22477
totedep 12.6878 nhit= 43
# of display =770
# of event =22516
totedep 5.5529 nhit= 19
# of display =771
# of event =22518
totedep 14.0599 nhit= 45
# of display =772
# of event =22525
totedep 4.48557 nhit= 19
# of display =773
# of event =22586
totedep 12.2333 nhit= 34
# of display =774
# of event =22608
totedep 10.4363 nhit= 47
# of display =775
# of event =22651
totedep 4.63893 nhit= 23
# of display =776
# of event =22677
totedep 8.4446 nhit= 30
# of display =777
# of event =22698
totedep 5.86341 nhit= 20
# of display =778
# of event =22737
totedep 2.01894 nhit= 11
# of display =779
# of event =22747
totedep 6.20823 nhit= 25
# of display =780
# of event =22767
totedep 4.93295 nhit= 18
# of display =781
# of event =22774
totedep 8.70235 nhit= 50
# of display =782
# of event =22779
totedep 3.79819 nhit= 17
# of display =783
# of event =22829
totedep 13.0675 nhit= 52
# of display =784
# of event =22830
totedep 21.1962 nhit= 18
# of display =785
# of event =22835
totedep 14.2475 nhit= 32
# of display =786
# of event =22875
totedep 3.53762 nhit= 25
# of display =787
# of event =22887
totedep 6.20938 nhit= 31
# of display =788
# of event =22940
totedep 1.85147 nhit= 11
# of display =789
# of event =22947
totedep 2.07632 nhit= 12
# of display =790
# of event =22949
totedep 4.52115 nhit= 16
# of display =791
# of event =22987
totedep 5.83762 nhit= 21
# of display =792
# of event =23018
totedep 9.10662 nhit= 38
# of display =793
# of event =23040
totedep 2.76264 nhit= 12
# of display =794
# of event =23056
totedep 5.10005 nhit= 18
# of display =795
# of event =23086
totedep 2.66571 nhit= 15
# of display =796
# of event =23157
totedep 7.16666 nhit= 35
# of display =797
# of event =23206
totedep 13.6604 nhit= 12
# of display =798
# of event =23215
totedep 3.50225 nhit= 20
# of display =799
# of event =23224
totedep 14.4346 nhit= 49
# of display =800
# of event =23248
totedep 2.78541 nhit= 10
# of display =801
# of event =23251
totedep 2.61539 nhit= 12
# of display =802
# of event =23259
totedep 2.64947 nhit= 10
# of display =803
# of event =23265
totedep 1.88868 nhit= 10
# of display =804
# of event =23320
totedep 2.38041 nhit= 14
# of display =805
# of event =23325
totedep 17.784 nhit= 58
# of display =806
# of event =23341
totedep 2.51944 nhit= 11
# of display =807
# of event =23351
totedep 7.92904 nhit= 19
# of display =808
# of event =23355
totedep 10.5507 nhit= 49
# of display =809
# of event =23359
totedep 4.72475 nhit= 19
# of display =810
# of event =23361
totedep 3.07218 nhit= 14
# of display =811
# of event =23377
totedep 3.23568 nhit= 17
# of display =812
# of event =23408
totedep 2.09114 nhit= 12
# of display =813
# of event =23447
totedep 4.16578 nhit= 26
# of display =814
# of event =23492
totedep 2.02728 nhit= 10
# of display =815
# of event =23508
totedep 3.29431 nhit= 12
# of display =816
# of event =23520
totedep 4.92329 nhit= 20
# of display =817
# of event =23563
totedep 10.1588 nhit= 38
# of display =818
# of event =23587
totedep 2.25178 nhit= 15
# of display =819
# of event =23623
totedep 4.60675 nhit= 21
# of display =820
# of event =23717
totedep 5.23974 nhit= 14
# of display =821
# of event =23793
totedep 4.12803 nhit= 14
# of display =822
# of event =23800
totedep 3.10504 nhit= 19
# of display =823
# of event =23876
totedep 1.63704 nhit= 11
# of display =824
# of event =23888
totedep 9.17438 nhit= 26
# of display =825
# of event =23920
totedep 2.04779 nhit= 12
# of display =826
# of event =24019
totedep 4.79695 nhit= 15
# of display =827
# of event =24037
totedep 7.38284 nhit= 27
# of display =828
# of event =24039
totedep 4.68838 nhit= 27
# of display =829
# of event =24049
totedep 23.0631 nhit= 64
# of display =830
# of event =24069
totedep 1.81992 nhit= 12
# of display =831
# of event =24098
totedep 17.2877 nhit= 69
# of display =832
# of event =24146
totedep 6.77039 nhit= 36
# of display =833
# of event =24169
totedep 1.55012 nhit= 10
# of display =834
# of event =24174
totedep 2.54141 nhit= 18
# of display =835
# of event =24202
totedep 2.07068 nhit= 11
# of display =836
# of event =24288
totedep 9.32553 nhit= 40
# of display =837
# of event =24293
totedep 24.4199 nhit= 69
# of display =838
# of event =24304
totedep 2.57131 nhit= 13
# of display =839
# of event =24339
totedep 10.5894 nhit= 45
# of display =840
# of event =24364
totedep 8.34902 nhit= 27
# of display =841
# of event =24399
totedep 1.33903 nhit= 11
# of display =842
# of event =24407
totedep 1.73606 nhit= 10
# of display =843
# of event =24416
totedep 10.9114 nhit= 31
# of display =844
# of event =24492
totedep 8.37171 nhit= 28
# of display =845
# of event =24502
totedep 1.82035 nhit= 12
# of display =846
# of event =24512
totedep 6.80153 nhit= 24
# of display =847
# of event =24529
totedep 4.23544 nhit= 26
# of display =848
# of event =24532
totedep 10.2399 nhit= 42
# of display =849
# of event =24546
totedep 2.53929 nhit= 10
# of display =850
# of event =24558
totedep 12.1027 nhit= 38
# of display =851
# of event =24572
totedep 3.45733 nhit= 21
# of display =852
# of event =24578
totedep 7.64009 nhit= 29
# of display =853
# of event =24616
totedep 2.37232 nhit= 14
# of display =854
# of event =24651
totedep 2.30487 nhit= 12
# of display =855
# of event =24690
totedep 5.79483 nhit= 20
# of display =856
# of event =24704
totedep 6.12415 nhit= 33
# of display =857
# of event =24738
totedep 4.45972 nhit= 15
# of display =858
# of event =24844
totedep 3.00178 nhit= 11
# of display =859
# of event =24908
totedep 7.87343 nhit= 28
# of display =860
# of event =24916
totedep 13.0956 nhit= 36
# of display =861
# of event =24924
totedep 5.18485 nhit= 33
# of display =862
# of event =24941
totedep 2.70628 nhit= 15
# of display =863
# of event =24986
totedep 3.58352 nhit= 13
# of display =864
# of event =25010
totedep 2.76124 nhit= 16
# of display =865
# of event =25071
totedep 3.12292 nhit= 12
# of display =866
# of event =25103
totedep 4.60993 nhit= 20
# of display =867
# of event =25128
totedep 1.86134 nhit= 12
# of display =868
# of event =25147
totedep 1.51481 nhit= 11
# of display =869
# of event =25162
totedep 8.49179 nhit= 39
# of display =870
# of event =25167
totedep 2.98613 nhit= 10
# of display =871
# of event =25220
totedep 2.39702 nhit= 10
# of display =872
# of event =25223
totedep 2.58862 nhit= 10
# of display =873
# of event =25228
totedep 2.04222 nhit= 10
# of display =874
# of event =25267
totedep 5.43283 nhit= 17
# of display =875
# of event =25272
totedep 8.98919 nhit= 47
# of display =876
# of event =25279
totedep 16.4782 nhit= 57
# of display =877
# of event =25317
totedep 2.3796 nhit= 12
# of display =878
# of event =25321
totedep 2.80302 nhit= 16
# of display =879
# of event =25343
totedep 6.19292 nhit= 21
# of display =880
# of event =25349
totedep 5.79319 nhit= 27
# of display =881
# of event =25363
totedep 3.29557 nhit= 10
# of display =882
# of event =25393
totedep 9.19163 nhit= 28
# of display =883
# of event =25432
totedep 8.89622 nhit= 35
# of display =884
# of event =25473
totedep 2.28903 nhit= 15
# of display =885
# of event =25534
totedep 6.26214 nhit= 23
# of display =886
# of event =25535
totedep 1.98387 nhit= 10
# of display =887
# of event =25559
totedep 1.93114 nhit= 10
# of display =888
# of event =25563
totedep 4.50867 nhit= 17
# of display =889
# of event =25591
totedep 20.1045 nhit= 60
# of display =890
# of event =25592
totedep 7.01232 nhit= 27
# of display =891
# of event =25669
totedep 3.8697 nhit= 15
# of display =892
# of event =25720
totedep 15.4637 nhit= 61
# of display =893
# of event =25753
totedep 14.2183 nhit= 44
# of display =894
# of event =25801
totedep 2.12979 nhit= 11
# of display =895
# of event =25803
totedep 3.85993 nhit= 12
# of display =896
# of event =25809
totedep 1.75842 nhit= 11
# of display =897
# of event =25828
totedep 2.09645 nhit= 15
# of display =898
# of event =25836
totedep 4.37103 nhit= 17
# of display =899
# of event =25920
totedep 2.14795 nhit= 12
# of display =900
# of event =25935
totedep 2.77484 nhit= 17
# of display =901
# of event =25936
totedep 7.90634 nhit= 46
# of display =902
# of event =25980
totedep 3.64962 nhit= 12
# of display =903
# of event =26038
totedep 4.33914 nhit= 23
# of display =904
# of event =26182
totedep 4.97538 nhit= 20
# of display =905
# of event =26215
totedep 1.88252 nhit= 12
# of display =906
# of event =26216
totedep 8.54784 nhit= 26
# of display =907
# of event =26224
totedep 4.87997 nhit= 20
# of display =908
# of event =26275
totedep 1.53196 nhit= 10
# of display =909
# of event =26281
totedep 2.79973 nhit= 12
# of display =910
# of event =26323
totedep 1.78291 nhit= 13
# of display =911
# of event =26347
totedep 5.76459 nhit= 30
# of display =912
# of event =26353
totedep 3.20258 nhit= 12
# of display =913
# of event =26385
totedep 5.85953 nhit= 26
# of display =914
# of event =26396
totedep 4.60459 nhit= 15
# of display =915
# of event =26420
totedep 3.03503 nhit= 12
# of display =916
# of event =26481
totedep 2.83034 nhit= 16
# of display =917
# of event =26542
totedep 2.41765 nhit= 11
# of display =918
# of event =26597
totedep 3.42418 nhit= 19
# of display =919
# of event =26632
totedep 5.05115 nhit= 30
# of display =920
# of event =26655
totedep 6.12928 nhit= 30
# of display =921
# of event =26699
totedep 2.16759 nhit= 13
# of display =922
# of event =26709
totedep 2.93206 nhit= 14
# of display =923
# of event =26739
totedep 3.12309 nhit= 12
# of display =924
# of event =26748
totedep 2.64863 nhit= 18
# of display =925
# of event =26784
totedep 15.092 nhit= 47
# of display =926
# of event =26792
totedep 3.46833 nhit= 15
# of display =927
# of event =26847
totedep 2.46957 nhit= 14
# of display =928
# of event =26919
totedep 4.01299 nhit= 13
# of display =929
# of event =26961
totedep 2.38983 nhit= 11
# of display =930
# of event =26975
totedep 13.9235 nhit= 51
# of display =931
# of event =27003
totedep 1.98919 nhit= 10
# of display =932
# of event =27036
totedep 2.45721 nhit= 12
# of display =933
# of event =27118
totedep 3.58299 nhit= 20
# of display =934
# of event =27153
totedep 8.59622 nhit= 25
# of display =935
# of event =27164
totedep 8.41949 nhit= 34
# of display =936
# of event =27166
totedep 13.2966 nhit= 49
# of display =937
# of event =27179
totedep 10.2504 nhit= 42
# of display =938
# of event =27207
totedep 4.40387 nhit= 29
# of display =939
# of event =27212
totedep 4.27505 nhit= 17
# of display =940
# of event =27217
totedep 2.55488 nhit= 16
# of display =941
# of event =27251
totedep 2.52461 nhit= 13
# of display =942
# of event =27271
totedep 1.67187 nhit= 15
# of display =943
# of event =27291
totedep 1.81593 nhit= 11
# of display =944
# of event =27313
totedep 3.77028 nhit= 24
# of display =945
# of event =27320
totedep 3.56426 nhit= 17
# of display =946
# of event =27394
totedep 2.16589 nhit= 10
# of display =947
# of event =27422
totedep 6.42604 nhit= 26
# of display =948
# of event =27428
totedep 4.25263 nhit= 15
# of display =949
# of event =27465
totedep 4.7413 nhit= 25
# of display =950
# of event =27476
